frame_number,class_id,confidence,x,y,w,h
118,0,0.5150552,140996,67696,31154,97226
118,0,0.5254759,140988,67659,31244,96818
118,0,0.55965364,141468,74827,33265,114417
118,0,0.53095937,141415,75046,33390,115021
119,0,0.5354848,140934,67851,31176,97204
119,0,0.5184365,140987,67685,31134,97248
119,0,0.52873427,140979,67655,31222,96821
119,0,0.56143117,141462,74880,33231,114458
119,0,0.5327567,141410,75111,33355,115074
120,0,0.547034,140922,67829,31161,97225
120,0,0.53055894,140975,67665,31114,97283
120,0,0.5405143,140966,67639,31203,96863
120,0,0.5634324,141445,74230,33153,113274
120,0,0.53430784,141392,74474,33272,113927
121,0,0.5358037,140916,68173,31017,96951
121,0,0.5231482,140976,68028,30972,97352
121,0,0.527796,140955,68024,31059,96706
121,0,0.5599577,141431,76749,32996,116586
121,0,0.5277421,141388,77112,33120,117285
125,0,0.51702005,140075,82086,31098,123366
126,0,0.5230286,139975,82465,30853,124385
127,0,0.5335502,139557,82799,30432,125197
128,0,0.56575227,140299,80768,31637,120649
128,0,0.53306836,140279,80787,31829,121396
129,0,0.50555664,140243,78913,32551,117505
129,0,0.50205153,140177,78835,32648,120109
129,0,0.614827,140179,84786,32955,129368
129,0,0.55592734,140271,86123,33561,129863
129,0,0.5850439,140149,84517,33041,129521
129,0,0.5606377,140236,86013,33486,129084
130,0,0.50858057,140254,79135,32563,117882
130,0,0.50607514,140189,79036,32655,120436
130,0,0.61762315,140177,84957,32972,129689
130,0,0.55928195,140257,86150,33537,129836
130,0,0.5890424,140147,84667,33056,129874
130,0,0.5668058,140221,86035,33453,129076
131,0,0.5953294,138579,85319,32096,126923
131,0,0.5268609,138947,86802,32427,127890
131,0,0.5632473,138590,85322,32288,127827
131,0,0.54036427,138886,86694,32387,127632
132,0,0.59039044,138616,84867,32152,126035
132,0,0.51851445,138942,86752,32494,127712
132,0,0.5592385,138622,84912,32346,127014
132,0,0.5311012,138886,86635,32458,127404
134,0,0.5007185,138287,75544,32976,100247
135,0,0.52145094,137918,83751,32874,119570
135,0,0.6505966,137611,89457,32366,122273
135,0,0.51867706,137934,83653,32842,120640
135,0,0.66906273,137654,89352,32588,122791
135,0,0.70455027,137494,86276,33023,128482
135,0,0.70164573,137867,86167,32415,128055
135,0,0.6095917,138065,87892,32139,129081
135,0,0.6756295,137554,86164,33160,128983
135,0,0.70887566,137910,86286,32437,128032
135,0,0.60165226,138135,87852,32508,129375
136,0,0.62417376,137380,90240,32213,122007
136,0,0.6494765,137475,90094,32566,122697
136,0,0.6558524,137244,86915,32618,129327
136,0,0.66898644,137612,86761,32274,129090
136,0,0.5827578,137775,88418,31899,129609
136,0,0.6243461,137311,86768,32765,129758
136,0,0.67779183,137678,86842,32337,129092
136,0,0.5770039,137843,88371,32207,130127
137,0,0.62671113,137507,90507,32464,121428
137,0,0.64957845,137589,90343,32803,121965
137,0,0.6491473,137263,87214,32704,128392
137,0,0.66915727,137662,87023,32324,128354
137,0,0.58733773,137852,88612,32014,129029
137,0,0.61812323,137331,87039,32841,128788
